Name,Rating,Ease of Prep,Type,Prep Time,Ingredients
Bacon and Honey Potato Salad,⭐⭐⭐,Fairly Easy,Main Dish,45,"Bacon,Honey,Potatoes"
Pretzel Sticks,⭐⭐⭐⭐,Average,Baking Basics,60,"Flour"
Lentil Shepherd's Pie,⭐⭐⭐⭐⭐,Average,So good,Main Dish,90,"Potatoes,Lamb,Beef"
Honey Lime Chicken,⭐⭐⭐,Fairly Easy,Main Dish,45,"Honey,Chicken"
Lentil Curry,⭐⭐,Super Simple,Makes a ton,Main Dish,45,"Potatoes,Curry"
Dutch Oven Bread,⭐⭐⭐⭐⭐,Super Simple,Baking Basics,60,"Flour,Yeast"
Potato Apple Roast,⭐⭐⭐⭐,Average,,Main Dish,45,"Potatoes,Apples,Onions"
Baking Powder Biscuits,⭐⭐⭐⭐,Super Simple,Baking Basics,30,"Baking powder,Sugar,Milk,Butter"
Sugar Cookies,⭐⭐⭐⭐⭐,Fairly Easy,,Baking Basics,25,"Sugar,Butter,Milk"
Brioche Chocolate Rolls,⭐⭐⭐⭐,Fairly Easy,Baking Basics,120,"Chocolate powder,Sugar,Milk"
Naan,⭐⭐⭐⭐⭐,Fairly Easy,Don't fry too long,Baking Basics,45,Flour
Lemon Poppy Seed Scones,⭐⭐⭐⭐⭐,Super Simple,,Baking Basics,30,"Lemons,Poppy seeds"
Balsamic Dijon Root Vegetables,⭐⭐⭐⭐,Fairly Easy,Main Dish,150,"Potatoes,Beets"
Best Baked Chicken Legs,⭐⭐⭐⭐⭐,Super Simple,Main Dish,90,"Chicken legs,Onions"
Buckwheat Carrot and Onion,⭐⭐⭐⭐,Fairly Easy,Main Dish,40,"Carrots, Onions"
Sweet Potatoes with Yogurt and Chickpeas,⭐⭐⭐⭐⭐,Fairly Easy,Main Dish,30,"Chickpeas,Potatoes,Yogurt,Eggs"
Spanish Chickpeas,⭐⭐⭐⭐⭐,Average,Main Dish,45,"Chickpeas,Flour,Yogurt,Onion,Eggs"
Lemon Fettuchini,⭐⭐⭐⭐,Fairly Easy,Main Dish,30,"Noodles,Coconut milk"
Chickpea Masala,⭐⭐⭐⭐⭐,Fairly Easy,Main Dish,40
Chickpea Broccoli Pesto,⭐⭐⭐,Super Simple,Side Dish,40,"Broccoli,Chickpeas"
Thai Veggie Soup,⭐⭐⭐,Average,,Main Dish,30
Buttery Herb Chicken,⭐⭐⭐⭐,Fairly Easy,,Main Dish,20
Rosemary Parsnips,⭐⭐⭐⭐⭐,Super Simple,Main Dish,35
Balsamic Potatoes and Asparagus,⭐⭐⭐,Super Simple,Main Dish,40,"Potatoes,Asparagus"
Quinoa Brussels Sweet Potato Salad,⭐⭐⭐⭐,Average,,Main Dish,40,"Quinoa,Brussels Sprouts,Sweet potato"
Thai Peanut Cabbage Quinoa,⭐⭐⭐⭐,Fairly Easy,Main Dish,20,"Peanuts,Quinoa"
Lemon Garlic Asparagus with Orzo,⭐⭐⭐,Average,Main Dish,30,"Garlic,Asparagus"
Moroccan Sweet Potato Lentil Stew,⭐⭐⭐,Average,Main Dish,60,"Sweet potatoes,Chives"
Chia Crusted Salmon,⭐⭐⭐⭐,Fairly Easy,Main Dish,20,Salmon
Pinto Beans and Tomatillo Cilantro Lime Rice,⭐⭐⭐⭐⭐,Hard,Main Dish,60,"Lime,Rice,Beans"
Thai Squash Soup,⭐⭐⭐,Average,,Main Dish,60,Squash
Roasted Carrot & Peanut Sauce,⭐⭐⭐⭐⭐,Average,Main Dish,75,"Carrots,Peanuts"
Majoram White Wine Chicken,⭐⭐⭐⭐,Average,Main Dish,120,"Chicken,White win"
Marjoram Carrots,⭐⭐⭐⭐⭐,Fairly Easy,Side Dish,30,Carrots
Soy Mustard Salmon,⭐⭐⭐⭐,Fairly Easy,Main Dish,20,"Salmon,Soy sauce"
Mango Chutney,⭐⭐⭐,Average,Side Dish,30,Mango
Cornbread,⭐⭐⭐,Fairly Easy,Side Dish,40,"Corn flour,Milk"
Brussel Honey Lentil Quinoa,⭐⭐⭐,Fairly Easy,Main Dish,20,"Quinoa,Honey"
Lentil Sweet Potato Curry,⭐⭐⭐⭐,Average,,Main Dish,60,"Sweet potatoes,Curry"
Gnocci and white beans,⭐⭐⭐⭐,Average,,Main Dish,30,"Beans,Spinach,Tomatoes,Gnocchi,Cheese"
Pad Thai,⭐⭐⭐,Fairly Easy,,Main Dish,30,"Vegetarian,Noodles"
Kung Pao Chicken,⭐⭐,Fairly Easy,Main Dish,30,"Chicken,Peanut,Water chestnuts"
Mediterranean Tuna Steaks,⭐⭐⭐,Fairly Easy,Main Dish,45,"Tuna,Capers",
Spicy Black Bean Nachos,⭐⭐,Fairly Easy,Main Dish,15,"Beans,Adobo Chile"
Tomato Basil Soup,⭐⭐⭐⭐,Average,Main Dish,45,"Tomatoes,Basil"
Chewy Chocolate Chip COokies,⭐⭐⭐⭐⭐,Fairly Easy,Dessert,30,"Butter,Chocolate Chips,Flour"
Quinoa Peanut Kale Curry,⭐⭐⭐⭐,Average,,Main Dish,45,"Quinoa,Kale,Peanut,Cilantro,Onion,Coconut milk"
Sweet Potato Lentil Curry with Pickled Onion,⭐⭐⭐⭐,Average,Main Dish,60,"Sweet potato,Red onion,Lentils,Ginger,Coconut milk,Cilantro"
Sardine Mediterranean Pasta,⭐⭐⭐,Fairly Easy,,Main Dish,30,"Sardine,Capers,Shallots,Lemon,Parsley"
Prosciutto apple flatbread pizza,⭐⭐⭐,Fairly Easy,,Main Dish,45,"Apple,Prosciutto,Cheese"
Dill Cucumber Salmon,⭐⭐⭐⭐,Average,Main Dish,30,"Fish,Yogurt,Cucumber,Dill,Broccoli,Red onion"
